text,font_size,y0,page_num,char_len,word_count,is_upper,starts_with_num,label
Application form for grant of LTC advance,11.67,722.8979300000001,0,41,7,0,0,Title
Name of the Government Servant,9.74,697.2557624,0,30,5,0,0,None
Designation,9.74,679.1993892,0,11,1,0,0,None
Date of entering the Central Government,9.74,661.0845496000001,0,39,6,0,0,None
Service,9.74,643.505652,0,7,1,0,0,None
PAY + SI + NPA,9.74,625.3908124000001,0,14,5,1,0,None
5. Whether permanent or temporary,9.74,604.3331640000001,0,33,5,0,1,None
Home Town as recorded in the Service Book,9.74,589.1513888000002,0,41,8,0,0,None
Whether wife / husband is employed and if,9.74,576.9708888000002,0,41,8,0,0,None
so whether entitled to LTC,9.74,559.3919912000002,0,26,5,0,0,None
Whether the concession is to be availed for,9.74,541.2674072000002,0,43,8,0,0,None
visiting home town and if so block for which,9.74,523.6885096000002,0,44,9,0,0,None
LTC is to be availed.,9.74,506.05114560000015,0,21,5,0,0,None
(a) If the concession is to visit anywhere in,9.74,487.99477240000016,0,45,9,0,0,None
"India, the place to be visited.",9.74,470.35740840000017,0,31,6,0,0,None
(b) Block for which to be availed.,9.74,452.77851080000016,0,34,7,0,0,None
Single,9.74,434.6539268000002,0,6,1,0,0,None
rail,9.74,434.6539268000002,0,4,1,0,0,None
fare/bus,9.74,434.6539268000002,0,8,1,0,0,None
fare,9.74,434.6539268000002,0,4,1,0,0,None
from,9.74,434.6539268000002,0,4,1,0,0,None
the,9.74,434.6539268000002,0,3,1,0,0,None
10.,9.74,414.0737540000002,0,3,1,0,1,None
headquarters to home town/place of visit by,9.74,417.0750292000002,0,43,7,0,0,None
shortest route.,9.74,399.4961316000002,0,15,2,0,0,None
Persons in respect of whom LTC is proposed to be availed.,9.74,381.31308120000017,0,57,11,0,0,None
Name,9.74,366.18977240000015,0,4,1,0,0,None
Age,9.74,366.18977240000015,0,3,1,0,0,None
Relationship,9.74,366.18977240000015,0,12,1,0,0,None
S.No,9.74,366.18977240000015,0,4,1,0,0,None
Amount of advance required.,9.74,269.11605960000014,0,27,4,0,0,None
Rs.,9.74,269.11605960000014,0,3,1,0,0,None
11.,9.74,331.63613000000015,0,3,1,0,1,None
12.,9.74,263.24018640000014,0,3,1,0,1,None
I declare that the particulars furnished above are true and correct to the best of my knowledge.,9.74,233.41257800000017,0,96,17,0,0,None
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.74,221.70955360000016,0,99,17,0,0,None
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.74,198.18657200000015,0,109,22,0,0,None
"advance, I undertake to refund the entire advance in one lump sum.",9.74,186.42508120000016,0,66,12,0,0,None
Date,9.74,151.26728600000015,0,4,1,0,0,None
Signature of Government Servant.,9.74,139.50579520000016,0,32,4,0,0,None
Overview,24.0,575.692,0,8,1,0,0,None
Foundation Level Extensions,24.0,520.468,0,27,3,0,0,None
Version 1.0,12.0,396.226,0,11,2,0,0,None
International Software Testing Qualifications Board,18.0,306.284,0,51,5,0,0,None
Copyright Notice,9.96,128.63827999999998,0,16,2,0,0,None
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.96,117.11456,0,93,16,0,0,None
Overview,12.0,737.0759999999999,1,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,1,41,6,0,0,None
International,9.96,742.29828,1,13,1,0,0,None
Software Testing,9.96,730.77828,1,16,2,0,0,None
Qualifications Board,9.96,719.25828,1,20,2,0,0,None
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.96,660.55828,1,92,10,0,0,None
Version 2014,9.96,61.9224399999999,1,12,2,0,0,None
Page 2 of 12,9.96,61.9224399999999,1,12,4,0,0,None
"May 31, 2014",9.96,61.9224399999999,1,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,1,53,6,0,0,None
Overview,12.0,737.0759999999999,2,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,2,41,6,0,0,None
International,9.96,742.29828,2,13,1,0,0,None
Software Testing,9.96,730.77828,2,16,2,0,0,None
Qualifications Board,9.96,719.25828,2,20,2,0,0,None
Revision History,15.96,665.31628,2,16,2,0,0,H1
Version,9.96,641.4782799999999,2,7,1,0,0,None
0.1,9.96,629.1182799999999,2,3,1,0,1,None
0.2,9.96,616.87828,2,3,1,0,1,None
0.3,9.96,604.63828,2,3,1,0,1,None
0.7,9.96,592.39828,2,3,1,0,1,None
0.8,9.96,580.15828,2,3,1,0,1,None
1.0,9.96,567.91828,2,3,1,0,1,None
Date,9.96,641.4782799999999,2,4,1,0,0,None
18 JUNE 2013,9.96,629.1182799999999,2,12,3,1,1,None
23 JULY 2013,9.96,616.87828,2,12,3,1,1,None
6 NOV 2013,9.96,604.63828,2,10,3,1,1,None
11 DEC 2013,9.96,592.39828,2,11,3,1,1,None
20 DEC 2013,9.96,580.15828,2,11,3,1,1,None
31 MAY 2014,9.96,567.91828,2,11,3,1,1,None
Remarks,9.96,641.4782799999999,2,7,1,0,0,None
Initial version,9.96,629.1182799999999,2,15,2,0,0,None
WG reviewed and confirmed,9.96,616.87828,2,25,4,0,0,None
amended population and diagram,9.96,604.63828,2,30,4,0,0,None
Amended Business Outcomes and Chapters matching,9.96,592.39828,2,47,6,0,0,None
Working group updates on 0.7,9.96,580.15828,2,28,5,0,0,None
GA release for Agile Extension,9.96,567.91828,2,30,5,0,0,None
Version 2014,9.96,61.9182,2,12,2,0,0,None
Page 3 of 12,9.96,61.9182,2,12,4,0,0,None
"May 31, 2014",9.96,61.9182,2,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,2,53,6,0,0,None
Overview,12.0,737.0759999999999,3,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,3,41,6,0,0,None
International,9.96,742.29828,3,13,1,0,0,None
Software Testing,9.96,730.77828,3,16,2,0,0,None
Qualifications Board,9.96,719.25828,3,20,2,0,0,None
Table of Contents,15.96,665.31628,3,17,3,0,0,H1
Revision History,9.96,636.19828,3,16,2,0,0,None
..........................................................................................................................................,9.96,636.19828,3,138,1,0,0,None
Table of Contents,9.96,618.7981599999999,3,17,3,0,0,H1
........................................................................................................................................,9.96,618.7981599999999,3,136,1,0,0,None
Introduction to the Foundation Level Extensions,9.96,601.27852,3,47,6,0,0,None
............................................................................,9.96,601.27852,3,76,1,0,0,None
Introduction to Foundation Level Agile Tester Extension,9.96,583.75888,3,55,7,0,0,None
...............................................................,9.96,583.75888,3,63,1,0,0,None
2.1,9.96,566.11972,3,3,1,0,1,None
Intended Audience,9.96,566.11972,3,17,2,0,0,None
2.2 Career Paths for Testers,9.96,554.596,3,28,5,0,1,None
Learning Objectives,9.96,543.16192,3,19,2,0,0,None
2.3,9.96,543.16192,3,3,1,0,1,None
Entry Requirements,9.96,531.6382,3,18,2,0,0,None
2.4,9.96,531.6382,3,3,1,0,1,None
Structure and Course Duration,9.96,520.11448,3,29,4,0,0,None
2.5,9.96,520.11448,3,3,1,0,1,None
Keeping It Current,9.96,508.59076,3,18,3,0,0,None
2.6,9.96,508.59076,3,3,1,0,1,None
.....................................................................................................................,9.96,566.11972,3,117,1,0,0,None
............................................................................................................,9.96,554.596,3,108,1,0,0,None
...................................................................................................................,9.96,543.16192,3,115,1,0,0,None
...................................................................................................................,9.96,531.6382,3,115,1,0,0,None
...................................................................................................,9.96,520.11448,3,99,1,0,0,None
......................................................................................................................,9.96,508.59076,3,118,1,0,0,None
3. Overview of the Foundation Level Extension – Agile Tester Syllabus,9.96,491.09103999999996,3,69,11,0,1,None
.........................................,9.96,491.19064,3,41,1,0,0,None
3.1,9.96,473.55147999999997,3,3,1,0,1,None
3.2 Content,9.96,462.14727999999997,3,11,2,0,1,None
Business Outcomes,9.96,473.55147999999997,3,17,2,0,0,None
.................................................................................................................,9.96,473.55147999999997,3,113,1,0,0,None
....................................................................................................................................,9.96,462.14727999999997,3,132,1,0,0,None
4. References,9.96,444.74715999999995,3,13,2,0,1,None
..........................................................................................................................................,9.96,444.74715999999995,3,138,1,0,0,None
Trademarks,9.96,427.10799999999995,3,10,1,0,0,None
4.1,9.96,427.10799999999995,3,3,1,0,1,None
4.2 Documents and Web Sites,9.96,415.5842799999999,3,27,5,0,1,None
.............................................................................................................................,9.96,427.10799999999995,3,125,1,0,0,None
.......................................................................................................,9.96,415.5842799999999,3,103,1,0,0,None
Version 2014,9.96,61.894719999999914,3,12,2,0,0,None
Page 4 of 12,9.96,61.894719999999914,3,12,4,0,0,None
"May 31, 2014",9.96,61.894719999999914,3,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,3,53,6,0,0,None
Overview,12.0,737.0759999999999,4,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,4,41,6,0,0,None
International,9.96,742.29828,4,13,1,0,0,None
Software Testing,9.96,730.77828,4,16,2,0,0,None
Qualifications Board,9.96,719.25828,4,20,2,0,0,None
Acknowledgements,15.96,665.31628,4,16,1,0,0,H1
This document was produced by a team from the International Software Testing Qualifications Board,9.96,636.07828,4,97,14,0,0,None
Foundation Level Working Group.,9.96,624.67408,4,31,4,0,0,None
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,9.96,601.6366,4,104,17,0,0,None
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.96,578.5991200000001,4,100,15,0,0,None
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.96,567.1949200000001,4,94,13,0,0,None
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.96,555.6712000000001,4,99,12,0,0,None
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",9.96,544.1176000000002,4,88,13,0,0,None
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.96,521.0801200000002,4,93,12,0,0,None
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",9.96,509.5564000000002,4,71,12,0,0,None
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.96,486.63844000000023,4,89,9,0,0,None
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.96,475.1147200000002,4,97,12,0,0,None
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",9.96,463.5910000000002,4,95,11,0,0,None
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",9.96,452.06728000000015,4,56,9,0,0,None
"The team thanks also the following persons, from the National Boards and the Agile expert community,",9.96,429.14932000000016,4,100,16,0,0,None
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.96,417.62556,4,105,14,0,0,None
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",9.96,406.10184,4,96,13,0,0,None
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.96,394.5582,4,99,15,0,0,None
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.96,383.03448,4,109,16,0,0,None
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,",9.96,371.41115999999994,4,98,13,0,0,None
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",9.96,360.10655999999994,4,101,13,0,0,None
"Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",9.96,348.5828399999999,4,92,13,0,0,None
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",9.96,337.0591199999999,4,100,16,0,0,None
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",9.96,325.53539999999987,4,81,12,0,0,None
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",9.96,302.6174399999999,4,96,17,0,0,None
2014.,9.96,291.09376,4,5,1,0,1,None
Version 2014,9.96,61.86435999999994,4,12,2,0,0,None
Page 5 of 12,9.96,61.86435999999994,4,12,4,0,0,None
"May 31, 2014",9.96,61.86435999999994,4,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,4,53,6,0,0,None
Overview,12.0,737.0759999999999,5,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,5,41,6,0,0,None
International,9.96,742.29828,5,13,1,0,0,None
Software Testing,9.96,730.77828,5,16,2,0,0,None
Qualifications Board,9.96,719.25828,5,20,2,0,0,None
1. Introduction to the Foundation Level Extensions,15.96,651.27628,5,50,7,0,1,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,9.96,634.63828,5,92,15,0,0,None
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,9.96,623.11456,5,106,16,0,0,None
extension syllabi.,9.96,611.59084,5,18,2,0,0,None
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",9.96,588.67288,5,101,17,0,0,None
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",9.96,577.1491599999999,5,102,16,0,0,None
updated document will be available on the ISTQB website.,9.96,565.6254399999999,5,56,9,0,0,None
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,9.96,542.5580799999999,5,97,17,0,0,None
some time. New topics emerge due to technology and methodology changes in the market which often,9.96,531.15388,5,96,16,0,0,None
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",9.96,519.6301599999999,5,106,19,0,0,None
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",9.96,508.10643999999996,5,106,17,0,0,None
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,9.96,496.58271999999994,5,92,14,0,0,None
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",9.96,485.0589999999999,5,102,16,0,0,None
that is beyond the scope of this document.,9.96,473.5352799999999,5,42,8,0,0,None
The following Foundation Level Extension syllabus has been released:,9.96,450.6173199999999,5,68,9,0,0,None
 Agile Tester,9.96,438.2768799999999,5,14,3,0,0,None
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",9.96,415.4585199999999,5,100,14,0,0,None
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,9.96,403.9347999999999,5,93,15,0,0,None
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",9.96,392.3911599999999,5,106,15,0,0,None
will outline the benefits for companies that are considering the development of specific testing skills at this,9.96,380.8674399999999,5,111,17,0,0,None
level.,9.96,369.34371999999985,5,6,1,0,0,None
Version 2014,9.96,61.878519999999774,5,12,2,0,0,None
Page 6 of 12,9.96,61.878519999999774,5,12,4,0,0,None
"May 31, 2014",9.96,61.878519999999774,5,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,5,53,6,0,0,None
Overview,12.0,737.0759999999999,6,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,6,41,6,0,0,None
International,9.96,742.29828,6,13,1,0,0,None
Software Testing,9.96,730.77828,6,16,2,0,0,None
Qualifications Board,9.96,719.25828,6,20,2,0,0,None
2. Introduction to Foundation Level Agile Tester Extension,15.96,651.27628,6,58,8,0,1,H1
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are,9.96,634.53868,6,101,15,0,0,None
working within Agile environments.,9.96,623.11456,6,34,4,0,0,None
It is also for professionals who are planning to start implementing,9.96,623.11456,6,67,11,0,0,None
"Agile methods in the near future, or are working within companies that plan to do so, The certification",9.96,611.59084,6,103,18,0,0,None
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",9.96,600.0671199999999,6,105,17,0,0,None
methodologies specific to their role.,9.96,588.66292,6,37,5,0,0,None
2.1 Intended Audience,14.04,559.03372,6,21,3,0,1,H2
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:,9.96,539.94868,6,106,16,0,0,None
1. Professionals who have achieved in-depth testing experience in traditional methods and would,9.96,528.52456,6,95,13,0,1,None
like to get an Agile Tester Certificate.,9.96,517.0008399999999,6,40,7,0,0,None
"2. Junior professional testers who are just starting in the testing profession, have received the",9.96,505.47711999999996,6,97,15,0,1,None
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile",9.96,493.8537999999999,6,93,16,0,0,None
environment.,9.96,482.5491999999999,6,12,1,0,0,None
"3. Professionals who are relatively new to testing and are required to implement test approaches,",9.96,471.0254799999999,6,97,15,0,1,None
methods and techniques in their day to day job in Agile projects.,9.96,459.5017599999999,6,65,12,0,0,None
4. Professionals who are experienced in their role (including unit testing) and need more,9.96,447.97803999999985,6,89,14,0,1,None
understanding and knowledge about how to perform and manage testing on all levels in Agile,9.96,436.4543199999998,6,90,15,0,0,None
projects.,9.96,424.9305999999998,6,9,1,0,0,None
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",9.96,402.0126399999998,6,104,16,0,0,None
"consultants, test managers, user acceptance testers, and software developers.",9.96,390.4689999999998,6,77,9,0,0,None
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who,9.96,367.3319199999998,6,99,15,0,0,None
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",9.96,355.9077999999998,6,102,16,0,0,None
"managers, software development managers, business analysts,",9.96,344.5035999999998,6,59,6,0,0,None
"IT directors, and management",9.96,344.5035999999998,6,28,4,0,0,None
consultants.,9.96,332.97987999999975,6,12,1,0,0,None
2.2 Career Paths for Testers,14.04,291.86372,6,28,5,0,1,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",9.96,272.90828000000005,6,104,16,0,0,None
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,9.96,261.38456,6,104,15,0,0,None
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,9.96,249.86084,6,109,19,0,0,None
an Agile project.,9.96,238.45664,6,17,3,0,0,None
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,9.96,215.28968,6,102,15,0,0,None
Tester Foundation Level acronym CTFL-AT.,9.96,203.86556,6,40,5,0,0,None
2.3 Learning Objectives,14.04,162.71372,6,23,3,0,1,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",9.96,143.75827999999998,6,106,17,0,0,None
remember and recall terms and concepts stated in the Foundation Level syllabus.,9.96,132.23456,6,79,12,0,0,None
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",9.96,109.3166,6,104,17,0,0,None
extension exam.,9.96,97.80283999999999,6,15,2,0,0,None
Version 2014,9.96,61.916959999999975,6,12,2,0,0,None
Page 7 of 12,9.96,61.916959999999975,6,12,4,0,0,None
"May 31, 2014",9.96,61.916959999999975,6,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,6,53,6,0,0,None
Overview,12.0,737.0759999999999,7,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,7,41,6,0,0,None
International,9.96,742.29828,7,13,1,0,0,None
Software Testing,9.96,730.77828,7,16,2,0,0,None
Qualifications Board,9.96,719.25828,7,20,2,0,0,None
"That said, each extension level exam focuses on the learning objectives defined in that extension",9.96,672.07828,7,97,15,0,0,None
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",9.96,660.5545599999999,7,105,18,0,0,None
chapter within each particular extension syllabus.,9.96,649.0308399999999,7,50,6,0,0,None
2.4 Entry Requirements,14.04,619.3937199999999,7,22,3,0,1,H2
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have",9.96,600.33868,7,99,17,0,0,None
obtained the ISTQB Foundation Level certificate.,9.96,588.9145599999999,7,48,6,0,0,None
2.5 Structure and Course Duration,14.04,559.2737199999999,7,33,5,0,1,H2
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the,9.96,540.18868,7,96,16,0,0,None
Foundation Level syllabus.,9.96,528.76456,7,26,3,0,0,None
The syllabi must be taught in the following minimum number of days:,9.96,505.8466,7,67,12,0,0,None
Syllabus,9.96,479.44828,7,8,1,0,0,None
Baseline: Foundation,9.96,461.32828,7,20,2,0,0,None
Extension: Agile Tester,9.96,443.32828,7,23,3,0,0,None
Days,9.96,479.44828,7,4,1,0,0,None
The following figure shows the structure of the Agile Tester Extension and its relationship to the,9.96,413.80828,7,98,16,0,0,None
Foundation Level.,9.96,402.28456,7,17,2,0,0,None
Version 2014,9.96,61.9182,7,12,2,0,0,None
Page 8 of 12,9.96,61.9182,7,12,4,0,0,None
"May 31, 2014",9.96,61.9182,7,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,7,53,6,0,0,None
Overview,12.0,737.0759999999999,8,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,8,41,6,0,0,None
International,9.96,742.29828,8,13,1,0,0,None
Software Testing,9.96,730.77828,8,16,2,0,0,None
Qualifications Board,9.96,719.25828,8,20,2,0,0,None
2.6 Keeping It Current,14.04,642.43372,8,22,4,0,1,H2
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,9.96,623.4782799999999,8,102,16,0,0,None
"access to relevant and current information, the ISTQB working groups have created links on the",9.96,611.9545599999999,8,94,15,0,0,None
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",9.96,600.4308399999999,8,100,14,0,0,None
in the industry. This information is not examinable under this syllabus.,9.96,588.9071199999998,8,72,11,0,0,None
